Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2006,11,28,2,1358,1335,2111,2109,DL,1648,N648DL,253,274,232,2,23,SFO,ATL,2139,8,13,0,,0,0,0,0,0,0
2006,3,27,1,1022,1017,1617,1601,DL,344,N841MH,235,224,197,16,5,SLC,ATL,1589,6,32,0,,0,0,0,16,0,0
2006,3,2,4,630,630,755,805,WN,824,N205,145,155,130,-10,0,BDL,MDW,777,5,10,0,,0,0,0,0,0,0
2006,4,28,5,1640,1620,1938,1935,WN,2154,N617SW,118,135,105,3,20,STL,TPA,869,3,10,0,,0,0,0,0,0,0
2006,7,10,1,1750,1800,1822,1832,AQ,275,N824AL,32,32,22,-10,-10,OGG,HNL,100,5,5,0,,0,0,0,0,0,0
2006,5,20,6,1944,1950,2239,2245,B6,1248,N206JB,175,175,161,-6,-6,TPA,BOS,1185,4,10,0,,0,0,0,0,0,0
2006,5,30,2,1710,1716,1820,1826,DL,1504,N986DL,70,70,46,-6,-6,CHS,ATL,259,10,14,0,,0,0,0,0,0,0
2006,5,11,4,1534,1425,1800,1650,WN,317,N662SW,146,145,130,70,69,PHL,MCO,861,5,11,0,,0,0,0,1,0,69
2006,12,24,7,1252,1255,1442,1500,EV,4344,N867AS,110,125,90,-18,-3,ATL,ROC,749,7,13,0,,0,0,0,0,0,0
2006,9,7,4,1712,1535,1808,1625,MQ,4595,N722AE,116,110,91,103,97,DCA,BNA,562,8,17,0,,0,0,0,6,0,97
2006,2,15,3,1405,1410,1630,1650,FL,164,N940AT,145,160,127,-20,-5,DTW,MCO,957,7,11,0,,0,0,0,0,0,0
2006,9,25,1,1648,1650,1753,1755,WN,1301,N636WN,65,65,57,-2,-2,SMF,BUR,358,1,7,0,,0,0,0,0,0,0
2006,9,29,5,1635,1550,1927,1826,DL,750,N615DL,172,156,112,61,45,JFK,ATL,760,8,52,0,,0,45,0,16,0,0
2006,8,25,5,1500,1500,1518,1524,YV,2715,N37228,138,144,121,-6,0,OKC,PHX,833,6,11,0,,0,0,0,0,0,0
2006,10,26,4,734,735,831,835,MQ,3354,N918AE,57,60,46,-4,-1,DAL,SAT,248,3,8,0,,0,0,0,0,0,0
2006,7,7,5,643,645,905,937,CO,1131,N16650,202,232,172,-32,-2,EWR,DFW,1372,11,19,0,,0,0,0,0,0,0
2006,12,3,7,NA,615,NA,822,OH,5051,0,NA,127,NA,NA,NA,ALB,CVG,623,0,0,1,A,0,0,0,0,0,0
2006,3,2,4,1300,1300,1348,1355,DL,1458,N307WA,48,55,36,-7,0,JAC,SLC,205,3,9,0,,0,0,0,0,0,0
2006,12,4,1,1714,1600,1813,1655,MQ,4045,N650AE,59,55,38,78,74,ORD,DBQ,147,3,18,0,,0,0,0,4,0,74
2006,7,11,2,1021,955,1306,1242,US,17,N177UW,345,347,302,24,26,PHL,LAX,2401,11,32,0,,0,23,0,0,0,1
2006,3,16,4,615,620,654,718,OH,5459,N989CA,39,58,29,-24,-5,FWA,CVG,136,3,7,0,,0,0,0,0,0,0
2006,5,1,1,1721,1727,1852,1913,OO,6661,N715SK,91,106,77,-21,-6,BOI,DEN,649,7,7,0,,0,0,0,0,0,0
2006,7,5,3,851,855,1339,1347,US,590,N314AW,168,172,145,-8,-4,PHX,MCI,1044,3,20,0,,0,0,0,0,0,0
2006,2,13,1,1658,1705,1928,2003,NW,1151,N363NB,150,178,134,-35,-7,MSP,IAH,1034,6,10,0,,0,0,0,0,0,0
2006,2,18,6,1738,1615,102,26,AA,180,N338AA,264,311,247,36,83,LAX,JFK,2475,5,12,0,,0,7,0,0,0,29
2006,7,30,7,1643,1648,1730,1745,AA,2208,N468AA,47,57,31,-15,-5,OKC,DFW,175,8,8,0,,0,0,0,0,0,0
2006,6,16,5,1918,1910,2242,2240,WN,549,N461,144,150,129,2,8,MDW,MCO,989,5,10,0,,0,0,0,0,0,0
2006,10,20,5,1228,1230,1511,1447,UA,1573,N467UA,163,137,120,24,-2,IAD,TPA,810,2,41,0,,0,0,0,24,0,0
2006,2,24,5,1025,1025,1205,1159,OO,6917,N756SK,160,154,128,6,0,ORD,COS,911,4,28,0,,0,0,0,0,0,0
2006,6,12,1,1214,1115,1316,1230,WN,2581,N620SW,62,75,50,46,59,SAN,LAS,258,4,8,0,,0,30,0,0,0,16
2006,4,3,1,1112,1115,1246,1234,UA,523,N365UA,94,79,64,12,-3,DEN,SLC,391,2,28,0,,0,0,0,0,0,0
2006,12,30,6,1856,1845,2021,2015,WN,1390,N246,85,90,73,6,11,SAN,SMF,480,5,7,0,,0,0,0,0,0,0
2006,8,1,2,825,828,946,951,OO,6563,N965SW,141,143,127,-5,-3,DEN,BUR,850,4,10,0,,0,0,0,0,0,0
2006,6,3,6,1706,1705,2016,1949,NW,758,N329NW,130,104,88,27,1,MSP,DTW,528,11,31,0,,0,0,0,27,0,0
2006,5,25,4,1748,1745,1958,2010,US,312,N713UW,130,145,118,-12,3,FLL,DCA,899,3,9,0,,0,0,0,0,0,0
2006,4,16,7,1351,1350,1638,1655,B6,555,N550JB,167,185,146,-17,1,EWR,RSW,1068,3,18,0,,0,0,0,0,0,0
2006,4,11,2,1236,1240,1402,1337,CO,1758,N14668,86,57,41,25,-4,AUS,IAH,140,11,34,0,,0,0,0,25,0,0
2006,6,4,7,1145,1143,1339,1345,NW,361,N595NW,234,242,210,-6,2,MSP,SFO,1589,4,20,0,,0,0,0,0,0,0
2006,7,26,3,2039,2040,453,500,B6,488,N638JB,314,320,474,-7,-1,LGB,BOS,2602,3,17,0,,0,0,0,0,0,0
2006,6,12,1,2043,2029,2131,2115,OO,6173,N295SW,48,46,35,16,14,SMF,SFO,86,6,7,0,,0,16,0,0,0,0
2006,4,12,3,612,620,736,750,F9,403,N937FR,144,150,124,-14,-8,IAH,DEN,861,11,9,0,,0,0,0,0,0,0
2006,8,5,6,921,920,922,925,WN,554,N300SW,61,65,50,-3,1,SDF,BHM,323,3,8,0,,0,0,0,0,0,0
2006,12,24,7,849,645,1231,1015,AA,1626,N4XVAA,162,150,136,136,124,ORD,TPA,1012,4,22,0,,0,124,0,12,0,0
2006,11,15,3,2128,1915,45,2215,DL,794,N939DL,137,120,105,150,133,ORD,ATL,606,8,24,0,,0,0,0,17,0,133
2006,1,30,1,850,855,946,955,XE,3129,N14562,56,60,40,-9,-5,LFT,IAH,201,8,8,0,,0,0,0,0,0,0
2006,9,24,7,1221,1230,1232,1245,XE,2646,N16919,71,75,55,-13,-9,CLE,MKE,328,4,12,0,,0,0,0,0,0,0
2006,7,14,5,706,710,820,844,DL,935,N687DL,74,94,54,-24,-4,RDU,ATL,356,6,14,0,,0,0,0,0,0,0
2006,12,19,2,1451,1408,1646,1556,US,1748,N511AU,115,108,86,50,43,CLT,PVD,683,3,26,0,,0,0,0,7,0,43
2006,5,6,6,1500,1500,1614,1620,WN,1398,N495,74,80,64,-6,0,OAK,LAS,407,4,6,0,,0,0,0,0,0,0
2006,2,10,5,1435,1435,1605,1557,XE,2016,N12946,90,82,54,8,0,IAH,MOB,427,11,25,0,,0,0,0,0,0,0
2006,6,8,4,1142,1145,1442,1420,AA,2472,N443AA,180,155,132,22,-3,AUS,ORD,978,39,9,0,,0,0,0,22,0,0
2006,11,11,6,1209,1209,1329,1319,NW,1401,N355NB,80,70,53,10,0,DTW,IND,231,9,18,0,,0,0,0,0,0,0
2006,5,25,4,1905,1820,1950,1920,WN,1764,N388SW,45,60,33,30,45,LAS,ONT,197,2,10,0,,0,3,0,0,0,27
2006,6,11,7,1952,1955,2255,2315,AA,1222,N202AA,123,140,105,-20,-3,STL,LGA,887,7,11,0,,0,0,0,0,0,0
2006,2,28,2,1717,1719,1804,1809,MQ,3247,N301AE,47,50,27,-5,-2,DFW,ACT,89,3,17,0,,0,0,0,0,0,0
2006,1,29,7,1812,1740,1945,1920,WN,1603,N376,153,160,140,25,32,BWI,JAN,888,2,11,0,,0,0,0,0,0,25
2006,6,16,5,1205,1210,1248,1303,MQ,3338,N301AE,43,53,26,-15,-5,TYR,DFW,103,11,6,0,,0,0,0,0,0,0
2006,9,30,6,1626,1634,1715,1722,FL,223,N995AT,109,108,93,-7,-8,CLT,MDW,584,6,10,0,,0,0,0,0,0,0
2006,6,6,2,1816,1825,2130,2136,UA,568,N340UA,134,131,119,-6,-9,SNA,DEN,846,6,9,0,,0,0,0,0,0,0
2006,12,14,4,708,700,943,914,NW,1260,N366NW,95,74,61,29,8,MSP,GRR,408,5,29,0,,0,8,0,21,0,0
2006,5,27,6,1909,1900,2055,2025,MQ,4865,N822AE,106,85,63,30,9,LGA,BGR,378,5,38,0,,0,9,0,21,0,0
2006,8,24,4,836,847,941,945,AS,98,N964AS,65,58,48,-4,-11,FAI,ANC,261,6,11,0,,0,0,0,0,0,0
2006,7,17,1,1832,1710,2253,2122,CO,426,N39343,201,192,167,91,82,IAH,BWI,1235,6,28,0,,0,82,0,9,0,0
2006,7,29,6,1511,1507,2220,2211,US,630,N665AW,249,244,225,9,4,PHX,PIT,1813,5,19,0,,0,0,0,0,0,0
2006,10,26,4,1008,1010,1227,1225,AA,1199,N469AA,199,195,173,2,-2,DCA,DFW,1192,6,20,0,,0,0,0,0,0,0
2006,3,9,4,2007,2010,2113,2120,B6,1018,N187JB,66,70,31,-7,-3,JFK,BOS,187,6,29,0,,0,0,0,0,0,0
2006,11,6,1,NA,1232,NA,1315,AS,65,N791AS,NA,43,NA,NA,NA,PSG,JNU,123,0,0,1,B,0,0,0,0,0,0
2006,3,9,4,732,735,1010,1024,YV,7398,N77181,98,109,75,-14,-3,ORD,MDT,594,7,16,0,,0,0,0,0,0,0
2006,6,1,4,1128,1130,1449,1505,F9,232,N904FR,141,155,124,-16,-2,DEN,BNA,1013,6,11,0,,0,0,0,0,0,0
2006,4,21,5,1000,1000,1500,1525,WN,1921,N234,180,205,170,-25,0,PHX,MDW,1444,5,5,0,,0,0,0,0,0,0
2006,11,6,1,2054,2055,2132,2135,AQ,87,N807AL,38,40,26,-3,-1,KOA,HNL,163,4,8,0,,0,0,0,0,0,0
2006,11,2,4,937,930,1116,1115,US,1961,N610AU,99,105,76,1,7,CLT,TPA,508,4,19,0,,0,0,0,0,0,0
